"","rules","support","confidence","coverage","lift","count"
"29","{Grape White/Green Seedless,Organic Grape Tomatoes} => {Banana}",0.00114481969089868,0.8,0.00143102461362335,3.83956043956044,8
"32","{Organic Large Extra Fancy Fuji Apple,Uncured Genoa Salami} => {Bag of Organic Bananas}",0.00114481969089868,0.888888888888889,0.00128792215226102,5.47273617229564,8
"34","{Bunched Cilantro,Organic Fuji Apple} => {Banana}",0.00114481969089868,0.8,0.00143102461362335,3.83956043956044,8
"35","{Organic Garnet Sweet Potato (Yam),Organic Navel Orange} => {Bag of Organic Bananas}",0.00114481969089868,0.8,0.00143102461362335,4.92546255506608,8
"36","{Organic Garnet Sweet Potato (Yam),Organic Kiwi} => {Bag of Organic Bananas}",0.00114481969089868,0.8,0.00143102461362335,4.92546255506608,8
"37","{Organic Kiwi,Organic Whole String Cheese} => {Bag of Organic Bananas}",0.00114481969089868,0.8,0.00143102461362335,4.92546255506608,8
"1","{Uncured Cracked Pepper Beef} => {Chipotle Beef & Pork Realstick}",0.00100171722953635,0.875,0.00114481969089868,679.388888888889,7
"3","{Pretzel Sticks} => {Banana}",0.00100171722953635,0.875,0.00114481969089868,4.19951923076923,7
"4","{Organic Seedless Watermelon,Organic Strawberries} => {Organic Hass Avocado}",0.00100171722953635,0.875,0.00114481969089868,8.38751714677641,7
"5","{Organic Baby Spinach,Original Rotisserie Chicken} => {Organic Avocado}",0.00100171722953635,1,0.00100171722953635,11.6661101836394,7
"6","{Organic Avocado,Peanut Butter Creamy With Salt} => {Banana}",0.00100171722953635,0.875,0.00114481969089868,4.19951923076923,7
"8","{Blueberry Yoghurt,Coconut Yoghurt} => {Strawberry Rhubarb Yoghurt}",0.00100171722953635,1,0.00100171722953635,225.41935483871,7
"9","{Organic Plain Greek Whole Milk Yogurt,Organic Strawberries} => {Bag of Organic Bananas}",0.00100171722953635,0.875,0.00114481969089868,5.38722466960352,7
"15","{Organic Small Bunch Celery,Organic Tomato Paste} => {Carrots}",0.00100171722953635,0.875,0.00114481969089868,24.1679841897233,7
"22","{Cantaloupe,Organic D'Anjou Pears} => {Bag of Organic Bananas}",0.00100171722953635,0.875,0.00114481969089868,5.38722466960352,7
"23","{Large Lemon,Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.00100171722953635,0.875,0.00114481969089868,80.4539473684211,7
"26","{Organic Large Extra Fancy Fuji Apple,Organic Whole Strawberries} => {Organic Hass Avocado}",0.00100171722953635,0.875,0.00114481969089868,8.38751714677641,7
"28","{Organic Italian Parsley Bunch,Organic Roasted Turkey Breast} => {Bag of Organic Bananas}",0.00100171722953635,0.875,0.00114481969089868,5.38722466960352,7
"31","{Carrots,Large Alfresco Eggs} => {Organic Yellow Onion}",0.00100171722953635,0.875,0.00114481969089868,15.4406565656566,7
"33","{Organic Small Bunch Celery,Unsweetened Almondmilk} => {Bag of Organic Bananas}",0.00100171722953635,0.875,0.00114481969089868,5.38722466960352,7
